(August,32.95652173913044)
(August,32.81428571428572)
(June,27.160714285714285)
(July,32.391304347826086)
(June,27.31578947368421)
(June,27.53448275862069)
(August,32.88732394366197)
(July,32.38297872340426)
(August,32.708333333333336)
(June,27.83050847457627)
(August,32.83561643835616)
(August,32.810810810810814)
(June,27.533333333333335)
(July,32.270833333333336)
(August,32.78666666666667)
(August,32.69736842105263)
(July,32.48979591836735)
(July,32.72)
(June,27.311475409836067)
(June,27.048387096774192)
(July,32.588235294117645)
(June,26.873015873015873)
(July,32.51923076923077)
(June,26.953125)
(July,32.60377358490566)
(July,32.388888888888886)
(July,32.56363636363636)
(July,32.42857142857143)
(August,32.45454545454545)
(August,32.62820512820513)
(June,26.70769230769231)
(June,26.90909090909091)
(June,26.865671641791046)
(July,32.31578947368421)
(July,32.48275862068966)
(July,32.66101694915254)
(July,32.68333333333333)
(June,27.147058823529413)
(June,27.057971014492754)
(July,32.77049180327869)
(August,32.848101265822784)
(July,32.79032258064516)
(July,33.03174603174603)
(July,33.03125)
(August,32.575)
(July,33.2)
(July,33.21212121212121)
(July,32.91044776119403)
(July,32.955882352941174)
(July,32.89855072463768)
(July,32.9)
(August,32.74074074074074)
(June,27.32857142857143)
(June,27.422535211267604)
(June,27.63888888888889)
(June,27.84931506849315)
(August,32.951219512195124)
(July,32.61971830985915)
(August,32.80722891566265)
(August,32.904761904761905)
(July,32.458333333333336)
(August,32.8235294117647)
(June,28.054054054054053)
(August,33.0)
(June,28.14666666666667)
(July,32.43835616438356)
(August,32.94252873563219)
(June,27.94736842105263)
(July,32.25675675675676)
(August,33.0)
(July,31.96)
(August,32.98876404494382)
(July,32.19736842105263)
(July,32.01298701298701)
(August,33.1)
(July,32.08974358974359)
(June,27.87012987012987)
(July,31.89873417721519)
(August,33.0989010989011)
(June,28.025641025641026)
(June,28.20253164556962)
(August,33.02173913043478)
(June,28.4375)
(June,28.22222222222222)
(July,31.9625)
(August,33.12903225806452)
(July,31.814814814814813)
(August,33.276595744680854)
(June,28.48780487804878)
(August,33.421052631578945)
